N,gamma_b_over_J,slow_rigidity,min_rigidity,slow_residue_over_participation,max_residue_over_participation
20,1.473612599456155,0.9982039391465188,0.7935193225697746,1.0017992924922903,1.2602087580697436
20,1.6695249329417137,0.9985244485895542,0.8353808391139609,1.0014777318798052,1.1970588181800303
20,1.891483218006352,0.9988007731055192,0.8693735519529086,1.0012006667663582,1.1502535334249127
20,2.1429501850539716,0.9990338445592243,0.896741907647413,1.0009670897998475,1.1151480615236136
20,2.4278489240116694,0.9992270790788806,0.9186257569632232,1.000773518789975,1.0885825837344059
20,2.750624087734529,0.99938513414855,0.9360281097359999,1.0006152441440643,1.0683439841160784
20,3.116311232217777,0.9995130497290455,0.9498062304463589,1.0004871875070434,1.0528463258553828
20,3.5306153753802056,0.9996157154029911,0.9606771239722875,1.0003844323284314,1.0409324579991215
20,4.0,0.999697580242318,0.9692307692307693,1.000302511243059,1.0317460317460316
40,0.01,0.9999984327197752,0.999752875014706,1.0000015672826812,1.0002471860711482
40,0.011329469723303542,0.9999979886994498,0.9996827921955508,1.0000020113045955,1.0003173084571684
40,0.012835688421125162,0.9999974190350343,0.9995928322684965,1.0000025809716269,1.0004073335845953
40,0.014542154334489537,0.9999966882699182,0.9994773562408663,1.0000033117410494,1.000522917058471
40,0.01647548972442066,0.9999957510042792,0.9993291244806451,1.000004249013775,1.0006713258954638
40,0.018665856200942244,0.9999945491471645,0.9991388417899385,1.0000054508825478,1.0008619004427042
40,0.021147425268811283,0.9999930084353911,0.9988945728039028,1.0000069916134915,1.001106650517676
40,0.02395891143088217,0.9999910340407875,0.9985809905071943,1.0000089660396017,1.001421025942107
40,0.027144176165949066,0.9999885050552629,0.9981784098248871,1.0000114950768724,1.0018249144212932
40,0.030752912203613758,0.9999852676137015,0.9976615441514434,1.0000147326033448,1.0023439370418405
40,0.0348414187714254,0.9999811263952642,0.9969979042834849,1.0000188739609552,1.0030111354333016
40,0.03947347990878038,0.999975834248256,0.9961457350954744,1.0000241663357416,1.0038691777405
40,0.044721359549995794,0.9999690797356384,0.9950513534771043,1.0000309212204541,1.0049732574159145
40,0.05066692890066491,0.9999604725363356,0.9936457087842838,1.0000395290261466,1.006394926440623
40,0.057402943695285626,0.9999495269226193,0.9918399304170142,1.0000504756250408,1.0082272041412517
40,0.06503449126242364,0.9999356440582612,0.9895195504179385,1.0000643600836927,1.0105914527688062
40,0.07368062997280773,0.9999180947579791,0.9865369836966291,1.0000819119510387,1.013646742621776
40,0.08347624664708567,0.9998960057899449,0.982701701699582,1.0001040050259755,1.0176027967291603
40,0.09457416090031759,0.9998683549904296,0.9777673268580401,1.0001316623422605,1.0227382042038595
